Catagories,Salary
PRESIDENT,376599.98
PRESIDENTS OFFICE OPERATIONS,376599.98
VICE PRESIDENT UNIVERSITY ADVANCEMENT,311000.04
CANR RESEARCH ACTIVITIES,249023.24
PERFORMING ARTS FACILITIES & PROGRAMS,248205.24
MSU HEALTH TEAM,231288.18
ASC PROVOST FOR ACADEMIC SERVICES,220190.28
MICHIGAN AGRICULTURAL EXPERIMENT STATION,209233.08
MSU TECHNOLOGIES,207098.24
FINANCE & OPERATIONS VP & TREASURER,202577.97
"RESIDENTIAL & HOSPITALITY SERVICES, DIV",198843.84
VICE PROV LIBRARIES AND IT SERVICES,197803.19
COMMUNICATIONS AND BRAND STRATEGY,191000
VP COMMUNICATIONS AND BRAND STRATEGY,191000
"OFC FOR INCLUSION, INTERCULT INITIATIVES",189150
UNIVERSITY ADVANCEMENT,188789.8
PROVOSTS OFFICE,186783.14
SE MI DETROIT MEDICAL CENTER,186558.38
OST.MED. RESEARCH & ADV STUDY PROGRAMS,184482.12
ENTERPRISE BUSINESS SYSTEMS PROJECTS,184370.04
ASC VICE PRES FOR UNIVERSITY DEVELOPMENT,183280.02
ASC PROV AST VP ACADEMIC HUMAN RESOURCES,182372.4
VICE PRES FOR GOVERNMENTAL AFFAIRS,180450
VICE PRES FOR GOVERNMENTAL AFFAIRS,180450
RESEARCH & GRADUATE STUDIES VICE PRES,179734.95
CONTROLLER,175100
ASC PROV & ASC VP ACAD HUMAN RESOURCES,175094.44
DEPARTMENT OF POLICE AND PUBLIC SAFETY,175077.24
ASC VICE PRES ALUMNI ASSOCIATION,174194.64
PHYSICAL PLANT ADMINISTRATION,172967.28
FINANCIAL AID,169950
HOLLAND INITIATIVE,168300
IT SERVICES ADMINISTRATION AND PLANNING,164167.24
ENVIRONMENTAL HEALTH & SAFETY,163200
BUSINESS OPERATIONS,162512.13
OFC OF DIVERSITY & PLURALISM,162005
FACULTY & ORG DEVELOPMENT - AHR,160538.52
HUMAN RESOURCES ASST VICE PRESIDENT,160490.5
INVESTMENT & FINANCIAL MANAGEMENT,159297.72
CONTRACT AND GRANT ADMINISTRATION,158754
INTERNAL AUDIT,158199.96
"RESIDENTIAL & HOSPITALITY SERVICES, DIV",157720.16
OFC OF PLANNING & BDGETS,156884.04
MANAGEMENT,155772.26
ACCOUNTING AND INFORMATION SYSTEMS,154792.31
UNIVERSITY OMBUDSPERSON,154500
V.P. FOR BUS. AND FINANCE PHYSICAL PLANT,152353.66
ADVANCEMENT MKTG AND COMM,152234.04
DEPT OF SUPPLY CHAIN MGT,151523.6
RESIDENCE EDUCATION AND HOUSING SER ADMN,150800
OFFICE OF SPONSORED PROJECTS,150287.98
BROADCASTING SERVICES,150000
CANR ADMIN/DEAN AG & NR,149343.93
GENERAL COUNSEL,148820.57
GENERAL COUNSEL,148820.57
REGISTRAR,148629
ASC PROVOST FOR ACADEMIC SERVICES,148558.84
MSU INNOVATION CENTER,147727.2
CULINARY SERVICES,147108
FINANCE,145342.81
UNIVERSITY SERVICES,144200.04
UNIVERSITY SERVICES & RECYCLING,144200.04
UNIVERSITY FARMS,143266.92
ELI BROAD COLLEGE OF BUSINESS DEAN,143159.48
POWER AND WATER,141873.24
PUBLIC UTILITIES INSTITUTE,141657
ECONOMICS,141590.28
STUDENT AFFAIRS & SERVICES VICE PRES,139872.04
ELI BROAD COLLEGE OF BUSINESS,139094.24
INTERNATIONAL STUDIES & PROGRAMS,137770.36
INTERNATIONAL STUDIES & PROGRAMS DEAN,137770.36
INSTITUTE OF INTERNATIONAL HEALTH,137526.52
TELECOMMUNICATION SYSTEMS,137461.8
CUSTODIAL SERVICES,136498.68
TRANSLATION SCIENCE & MOLECULAR MED,135157.56
RISK MANAGEMENT,135038.88
DEPARTMENT OF MARKETING,134675.75
MSU UNION,134128.8
OSTEOPATHIC MEDICINE DEAN,132714.31
PRTNSHP CUT HUNGER POVERTY IN AFRICA,130394.8
EXECUTIVE DEVELOPMENT PROGRAMS,129298.29
FACULTY GRIEVANCE OFFICIAL,129179.52
ADVANCEMENT INFO SYS & DONOR STRATEGY,128750.04
PSYCHIATRY,128400.35
OFC INTNL RESEARCH COLLABORATION,128143.92
VICE PROV LIBRARIES AND IT SERVICES,126855.11
MEDICAL EDUCATION RESEARCH & DEVELOPMENT,124771.25
OSTEOPATHIC MEDICAL SPECIALTIES,123124.36
JULIAN SAMORA RSCH. INST.,122515.02
"FAMILY MEDICINE, DEPT OF",122348.34
OSTEOPATHIC MANIPULATIVE MEDICINE,121224.48
PROVOST-VICE PRES FOR ACADEMIC AFFAIRS,120557.49
COLLEGE OF OSTEOPATHIC MEDICINE,118704.65
HUMAN MEDICINE DEAN,118665.06
LEARNING & ASSESSMENT CENTER,118593.72
FACILITY FOR RARE ISOTOPE BEAMS,118508.41
V.P. FINANCE & OPERATIONS & TREASURER,118281.09
OFFICE OF ADMISSIONS,117527.92
ASSOCIATE VICE PRESIDENT FOR RESEARCH,116880.75
ENTERPRISE INFORMATION STEWARDSHIP,116859.6
PROGRAM IN MATHEMATICS EDUCATION,116710.09
OSTEO SURGICAL SPECIALITIES,116094.24
PED & HUMAN DEVELOPMENT,115898.88
"REGULATORY AFFAIRS, OFFICE OF",115248.15
"ADVANCED MICROSCOPY, CTR FOR",114999.77
COLLEGE OF HUMAN MEDICINE,114912.62
VETERINARY MEDICINE DEAN,114114.93
ELECTRICAL ENGINEERING,113879.98
SOCIAL SCIENCE DEAN,113636.31
MSU PRESS,113415.84
INST FOR PUB POLICY SOC RS,112494
CTR FOR ETH & HUM IN THE LIFE SCI,112292.01
RADIOLOGY,111297.86
PHYS MED & REHABILITATION,111108.21
CHM WEST MICHIGAN,109930.11
INTERCOLLEGIATE ATHLETICS,109681.54
INSTITUTE FOR HEALTH CARE STUDIES,109396.17
OFFICE OF STUDY ABROAD-CENTER SUPPORT,108387
JEWISH STUDIES PROGRAM,108119.48
POLITICAL SCIENCE,107780.6
LARGE ANML CLINICAL SCI,107209.12
DIAG CTR POP & ANML HLTH,106539.89
FAMILY AND COMMUNITY MEDICINE,106498.09
HUMAN RESOURCES & LABOR RELATIONS,106425.07
OFFICE OF CLINICAL RESEARCH-CHM,106398.27
"AG, FOOD, & RESOURCE ECON",106272.32
EPIDEMIOLOGY AND BIOSTATISTICS,105859.51
OUTREACH & ENGAGEMENT PARTNERSHIPS,105819.58
"OBSTETRICS, GYN & REPRODUCTIVE BIO",105496.97
ART MUSEUM,105133.33
FOOD INDUSTRY INSTITUTE,104055.03
PSYCHOLOGY,103947.17
CHEM ENGINEERING & MAT SCI,103708.1
COLLEGE OF ENGINEERING,103446.74
MEDICINE,103230.26
NEUROSCIENCE PROGRAM,102820.64
MECHANICAL ENGINEERING,102679.64
CANCER CENTER,102472.98
DEAN OF NATURAL SCIENCE,102327.68
NAT'L SUPERCONDUCTING CYCLOTRON LAB,102220.67
MSU HEALTH TEAM,102095.51
PHARMACOLOGY TOXICOLOGY,101833.37
STATISTICS & PROBABILITY,100887.39
ENGINEERING DEAN,100797.46
SE MI MACOMB UNIVERSITY CENTER,100701.96
PEDIATRICS,100456.62
MIGRANT STUDENT SERVICES,100321.56
COMPUTER SCIENCE AND ENGINEERING,100292.32
RADIOLOGY/SPORTS MED,99769.95
OFFICE OF INTERNATIONAL STUDENTS & SCHOL,99328.92
THE SCHOOL OF HOSPITALITY BUSINESS,99069.64
CROP AND SOIL SCIENCES,98687.27
PHYSIOLOGY,98144.94
CIVIL & ENV ENGINEERING,97752.62
INST FOR RES TCH & LRN ACROSS LIFE SPAN,97642.08
PHYSICS-ASTRONOMY,97432.48
INTEGRATIVE TOXICOLOGY,97181.34
SOCIOLOGY,96599.75
LEAR CORPORATION CAREER SERVICES,96358.44
COMP MATL & STRUCTURES,96306
CHEMISTRY,96054.5
"COMMY, AG REC & RES STD",95351.57
AGRICULTURE & NAT RESOURCES DEAN,95138.55
OFFICE OF ACADEMIC PROGRAMS,94862.78
CAMPUS PLANNING & ADMINISTRATION,94644.3
USABILITY/ACCESSIBILITY RSCH CONSULTING,94622.68
HORTICULTURE,94442.89
SURGERY,94273.61
VICE PRES RESEARCH AND GRADUATE STUDIES,94063.79
CANR PUBLIC SERVICE ACTIV.,93868.75
ARTS & LETTERS DEAN,93665.73
COMMUNICATION,92970.24
COLLEGE OF VETERINARY MEDICINE,92202.65
SW MI RESEARCH & EXT CTR,91966.5
COMMUNICATIVE SCIENCES & DISORD,91858.9
EDUCATIONAL ADMINISTRATION,91615.07
COLLEGE OF SOCIAL SCIENCE,91137.09
CTR FOR STATISTICAL TRAINING CONSULTING,91000.02
COLLEGE OF NATURAL SCIENCE,90876.7
PATHOBIOLOGY & DIAGNOSTIC INVES,90401.61
DEAN OF EDUCATION,90312.23
ANIMAL SCIENCE DEPARTMENT,90283.63
FORESTRY,89913.77
NAT'L SUPERCONDUCTING CYCLOTRON LAB,89765.34
FOOD SCI. & HUMAN NUTR.,89699.5
NATL COLLAB FOR STUDY OF UNIV ENGAGEMENT,89562
BIOSYSTEMS & AG ENGINEER,89443.54
GLOBAL URBAN STUDIES,89385.52
MATHEMATICS,89374.1
PACKAGING,89291.1
CRIMINAL JUSTICE,89099.92
ASC PROVOST FOR UNDERGRADUATE EDUCATION,88936.01
MBA PROGRAM,88498.54
NEUROLOGY & OPHTHALMOLOGY,88356.09
KINESIOLOGY,88317.78
DIV OF ENGR RESEARCH,88086.87
GEOGRAPHY,87937.39
SMALL ANIMAL CLINICAL SCIENCES,86851.18
ANTHROPOLOGY,85471.55
"TELECOM,INFORMATION STUDIES & MEDIA",85306.78
PHYSIOLOGY/HUMAN PATHLGY,85151.18
MSU AGBIORESEARCH,84975.89
HISTORY,84791.99
COLLEGE OF AGRICULTURE & NAT RESOURCES,84092.52
JAMES MADISON COLLEGE,83765.32
JAMES MADISON COLLEGE DEAN,83765.32
COLLEGE OF COMMUNICATION ARTS & SCIENCES,83268.55
