Catagories,Salary
"MATHEMATICS,SCIENCE,TECH AT MSU-HON COL",26627.96
CTR FOR MICROBIAL ECOLOGY,31193.52
COMMY MUSIC SCHOOL,36108.23
CNS - RESEARCH SERVICES,37530
RESEARCH TECHNOL SUPPORT FACILITY - MAES,42630
ASIAN STUDIES CENTER,43390.67
ENGLISH LANGUAGE CENTER,44192.13
GREAT LAKES BIOENERGY RESEARCH CTR,44904.39
CTR FOR INTEGRAT STD - ARTS & HUMANITIES,46309.04
"PROG IN WOMEN,GENDER& SOC JUST",47577.26
COUNSELING CENTER,49202.56
GLOBAL CHANGE & EARTH OBS,50082.33
INTRAMURAL SPORTS & RECREATIVE SERVICES,51585.28
EXTENSION HEALTH AND NUTRITION,51590.21
EXTENSION CHILDREN AND YOUTH,52025.73
BIO/COMPUTATIONAL EVOLUTION IN ACTION,53446.1
THEATRE,53894.83
RESOURCE CTR FOR PERSONS W/DISABILITIES,53946.41
OFF CAMPUS CREDIT PROGRAM,54364.61
UNDERGRADUATE UNIVERSITY DIVISION,54568.85
ANR TECHNOLOGY SERVICES,55767.24
MATRIX,56043
"WRITING, RHETORIC & AMERICAN CULTURE",56447.88
INTERNATIONAL BUSINESS CENTER,56496
A&L INTERDEPARTMENTAL PROGRAMS,57257.45
ADMIN SUPPORT-MLK INITIATIVE,57506.7
UNIVERSITY ARCHIVES & HISTORIC COLLECT,58434.77
AGRICULTURAL TECH. INST.,58536.66
AFRICAN STUDIES CENTER,58627.64
EXTENSION GREENING MICHIGAN,59081.79
CENTER FOR GENDER IN GLOBAL CONTEXT,59430.96
DREW LABORATORY,59583
LATIN AMERICAN STUDIES CENTER,59638.38
NATIVE AMERICAN INSTITUTE,59884.25
TEACHING ASSISTANT PROGRAMS,60000
BAILEY SCHOLARS,61504.79
VETERINARY TECHNOLOGY,61668.13
ASC PROVOST FOR UNDERGRADUATE EDUCATION,61749
ARTS AND LETTERS WRITING CENTER,62054.76
TEACHER EDUCATION,62236.8
"COUNSELING, ED PSY, SPEC ED",62238.65
STUDENT-ATHLETE SUPPORT SERVICES,62547.86
RSCH ON MATH & SCIENCE ED,62911.98
COLLEGE OF ARTS AND LETTERS,63229.53
EXT AGRICULTURE & AGRIBUSINESS MAES,63263.73
ART & ART HISTORY,63650.58
VISITING INTNL PROFESSIONAL PRGM,64152.11
ROMANCE AND CLASSICAL STUDIES,64726.44
PLANT RESEARCH LAB NAT SCI,64822.32
"LINGUISTICS,GERM,SLAVIC,ASIAN&AF LG",64886.55
INSTITUTE FOR CYBER-ENABLED RESEARCH,64918.5
WATER RESEARCH INSTITUTE,65000.04
COMMUNICATION ARTS AND SCIENCES DEAN,65023.33
LYMAN BRIGGS COLLEGE,65713.79
LYMAN BRIGGS DEAN,65713.79
ANR COMMUNICATIONS,66657.96
ENVIRONMENTAL SCIENCE AND POLICY PROGRAM,67411.31
NATURAL FEATURES INVENTORY,67762.49
COMMUNITY EVALUATION & RSCH COLLABRTVE,68571.27
HONORS COLLEGE,68886.54
CTR FOR INTEGRATIVE STD - SOCIAL SCIENCE,68954.12
UPWARD BOUND,68986.84
LAND POLICY INSTITUTE,69140.87
CTR FOR ADV STUDY INT'L DEVEL,69459.44
COLLEGE OF EDUCATION,69498
CTR FOR INTEGRATIVE STD - GENERAL SCI,69522.28
WOMEN'S RESOURCE CENTER,70261
VICE PRES FOR STUDENT AFFAIRS & SERVICES,70859.43
RELIGIOUS STUDIES,70891.44
UOE COMMUNICATION & INFORMATION TECHNOL,71550
LIBRARIES,72929.39
LIBRARIES,72929.39
KELLOGG BIOLOGICAL STATION,72930.39
SUPPORTIVE SERVICES PROGRAM,72930.55
GRADUATE SCHOOL DEAN,74498.12
SOCIAL WORK,74522.77
BIOMEDICAL LABORATORY DIAGNOSTICS PROGR,74568.21
INTERNATIONAL STUDIES & PROGRAMS DEAN,74821.02
"SCHL OF PLANNING,DSGN&CNST",74908.88
HONORS COLLEGE DEAN,74923.48
ACADEMIC SERVICE LEARNING,75126.36
ENTOMOLOGY,76564.57
PLANT BIOLOGY,76749.3
BIOCHEMISTRY&MOLECULAR BIO,76850.31
MSUE DIRECTOR'S OFFICE,76986.41
PLANT PATHOLOGY,77393.57
CREATE FOR STEM,77584.71
INTNL AGRICULT INSTITUTE,77729.15
ZOOLOGY NATURAL SCIENCE,77751.26
NURSING,77803.55
"ARTS & HUMANITIES, RESIDENTIAL COLL IN",77814.64
RESIDENTIAL COLLEGE ARTS & HUMAN DEAN,77814.64
BIOLOGICAL SCIENCE PROGRAM,78097.72
PHILOSOPHY,78399.85
"ADVERTISING, PUB REL & RETAILING",79385.04
COLLEGE OF MUSIC,79723
MSU GLOBAL,79741.15
MSU GLOBAL,79741.15
FISHERIES & WILDLIFE,80092.16
GEOLOGICAL SCIENCES,80848.17
OUTREACH & ENGAGEMENT STRATEGIC INVSTMNT,81140.04
ENGLISH,81193.7
MUSEUM,81384.16
GRADUATE SCHOOL DEAN,81747.18
JOURNALISM,82136.78
ASC PROV FOR UNIV OUTREACH & ENGAGEMENT,82490.8
MUSIC,82710.32
MICHIGAN STATE UNIVERSITY EXTENSION,82754.39
HUMAN DEVELOPMENT & FAMILY STD,82870.55
MICROBIOLOGY&MOLEC GENETICS,83236.17
COLLEGE OF COMMUNICATION ARTS & SCIENCES,83268.55
JAMES MADISON COLLEGE,83765.32
JAMES MADISON COLLEGE DEAN,83765.32
COLLEGE OF AGRICULTURE & NAT RESOURCES,84092.52
HISTORY,84791.99
MSU AGBIORESEARCH,84975.89
PHYSIOLOGY/HUMAN PATHLGY,85151.18
"TELECOM,INFORMATION STUDIES & MEDIA",85306.78
ANTHROPOLOGY,85471.55
SMALL ANIMAL CLINICAL SCIENCES,86851.18
GEOGRAPHY,87937.39
DIV OF ENGR RESEARCH,88086.87
KINESIOLOGY,88317.78
NEUROLOGY & OPHTHALMOLOGY,88356.09
MBA PROGRAM,88498.54
ASC PROVOST FOR UNDERGRADUATE EDUCATION,88936.01
CRIMINAL JUSTICE,89099.92
PACKAGING,89291.1
MATHEMATICS,89374.1
GLOBAL URBAN STUDIES,89385.52
BIOSYSTEMS & AG ENGINEER,89443.54
NATL COLLAB FOR STUDY OF UNIV ENGAGEMENT,89562
FOOD SCI. & HUMAN NUTR.,89699.5
NAT'L SUPERCONDUCTING CYCLOTRON LAB,89765.34
FORESTRY,89913.77
ANIMAL SCIENCE DEPARTMENT,90283.63
DEAN OF EDUCATION,90312.23
PATHOBIOLOGY & DIAGNOSTIC INVES,90401.61
COLLEGE OF NATURAL SCIENCE,90876.7
CTR FOR STATISTICAL TRAINING CONSULTING,91000.02
COLLEGE OF SOCIAL SCIENCE,91137.09
EDUCATIONAL ADMINISTRATION,91615.07
COMMUNICATIVE SCIENCES & DISORD,91858.9
SW MI RESEARCH & EXT CTR,91966.5
COLLEGE OF VETERINARY MEDICINE,92202.65
COMMUNICATION,92970.24
ARTS & LETTERS DEAN,93665.73
CANR PUBLIC SERVICE ACTIV.,93868.75
VICE PRES RESEARCH AND GRADUATE STUDIES,94063.79
SURGERY,94273.61
HORTICULTURE,94442.89
USABILITY/ACCESSIBILITY RSCH CONSULTING,94622.68
CAMPUS PLANNING & ADMINISTRATION,94644.3
OFFICE OF ACADEMIC PROGRAMS,94862.78
AGRICULTURE & NAT RESOURCES DEAN,95138.55
"COMMY, AG REC & RES STD",95351.57
CHEMISTRY,96054.5
COMP MATL & STRUCTURES,96306
LEAR CORPORATION CAREER SERVICES,96358.44
SOCIOLOGY,96599.75
INTEGRATIVE TOXICOLOGY,97181.34
PHYSICS-ASTRONOMY,97432.48
INST FOR RES TCH & LRN ACROSS LIFE SPAN,97642.08
CIVIL & ENV ENGINEERING,97752.62
PHYSIOLOGY,98144.94
CROP AND SOIL SCIENCES,98687.27
THE SCHOOL OF HOSPITALITY BUSINESS,99069.64
OFFICE OF INTERNATIONAL STUDENTS & SCHOL,99328.92
RADIOLOGY/SPORTS MED,99769.95
COMPUTER SCIENCE AND ENGINEERING,100292.32
MIGRANT STUDENT SERVICES,100321.56
PEDIATRICS,100456.62
SE MI MACOMB UNIVERSITY CENTER,100701.96
ENGINEERING DEAN,100797.46
STATISTICS & PROBABILITY,100887.39
PHARMACOLOGY TOXICOLOGY,101833.37
MSU HEALTH TEAM,102095.51
NAT'L SUPERCONDUCTING CYCLOTRON LAB,102220.67
DEAN OF NATURAL SCIENCE,102327.68
CANCER CENTER,102472.98
MECHANICAL ENGINEERING,102679.64
NEUROSCIENCE PROGRAM,102820.64
MEDICINE,103230.26
COLLEGE OF ENGINEERING,103446.74
CHEM ENGINEERING & MAT SCI,103708.1
PSYCHOLOGY,103947.17
FOOD INDUSTRY INSTITUTE,104055.03
ART MUSEUM,105133.33
"OBSTETRICS, GYN & REPRODUCTIVE BIO",105496.97
OUTREACH & ENGAGEMENT PARTNERSHIPS,105819.58
EPIDEMIOLOGY AND BIOSTATISTICS,105859.51
"AG, FOOD, & RESOURCE ECON",106272.32
OFFICE OF CLINICAL RESEARCH-CHM,106398.27
HUMAN RESOURCES & LABOR RELATIONS,106425.07
FAMILY AND COMMUNITY MEDICINE,106498.09
DIAG CTR POP & ANML HLTH,106539.89
LARGE ANML CLINICAL SCI,107209.12
POLITICAL SCIENCE,107780.6
JEWISH STUDIES PROGRAM,108119.48
OFFICE OF STUDY ABROAD-CENTER SUPPORT,108387
INSTITUTE FOR HEALTH CARE STUDIES,109396.17
INTERCOLLEGIATE ATHLETICS,109681.54
CHM WEST MICHIGAN,109930.11
PHYS MED & REHABILITATION,111108.21
RADIOLOGY,111297.86
CTR FOR ETH & HUM IN THE LIFE SCI,112292.01
INST FOR PUB POLICY SOC RS,112494
MSU PRESS,113415.84
SOCIAL SCIENCE DEAN,113636.31
ELECTRICAL ENGINEERING,113879.98
VETERINARY MEDICINE DEAN,114114.93
COLLEGE OF HUMAN MEDICINE,114912.62
"ADVANCED MICROSCOPY, CTR FOR",114999.77
"REGULATORY AFFAIRS, OFFICE OF",115248.15
PED & HUMAN DEVELOPMENT,115898.88
OSTEO SURGICAL SPECIALITIES,116094.24
PROGRAM IN MATHEMATICS EDUCATION,116710.09
ENTERPRISE INFORMATION STEWARDSHIP,116859.6
ASSOCIATE VICE PRESIDENT FOR RESEARCH,116880.75
OFFICE OF ADMISSIONS,117527.92
V.P. FINANCE & OPERATIONS & TREASURER,118281.09
FACILITY FOR RARE ISOTOPE BEAMS,118508.41
LEARNING & ASSESSMENT CENTER,118593.72
HUMAN MEDICINE DEAN,118665.06
COLLEGE OF OSTEOPATHIC MEDICINE,118704.65
PROVOST-VICE PRES FOR ACADEMIC AFFAIRS,120557.49
OSTEOPATHIC MANIPULATIVE MEDICINE,121224.48
"FAMILY MEDICINE, DEPT OF",122348.34
JULIAN SAMORA RSCH. INST.,122515.02
OSTEOPATHIC MEDICAL SPECIALTIES,123124.36
MEDICAL EDUCATION RESEARCH & DEVELOPMENT,124771.25
VICE PROV LIBRARIES AND IT SERVICES,126855.11
OFC INTNL RESEARCH COLLABORATION,128143.92
PSYCHIATRY,128400.35
ADVANCEMENT INFO SYS & DONOR STRATEGY,128750.04
FACULTY GRIEVANCE OFFICIAL,129179.52
EXECUTIVE DEVELOPMENT PROGRAMS,129298.29
PRTNSHP CUT HUNGER POVERTY IN AFRICA,130394.8
OSTEOPATHIC MEDICINE DEAN,132714.31
MSU UNION,134128.8
DEPARTMENT OF MARKETING,134675.75
RISK MANAGEMENT,135038.88
TRANSLATION SCIENCE & MOLECULAR MED,135157.56
CUSTODIAL SERVICES,136498.68
TELECOMMUNICATION SYSTEMS,137461.8
INSTITUTE OF INTERNATIONAL HEALTH,137526.52
INTERNATIONAL STUDIES & PROGRAMS,137770.36
INTERNATIONAL STUDIES & PROGRAMS DEAN,137770.36
ELI BROAD COLLEGE OF BUSINESS,139094.24
STUDENT AFFAIRS & SERVICES VICE PRES,139872.04
ECONOMICS,141590.28
PUBLIC UTILITIES INSTITUTE,141657
POWER AND WATER,141873.24
ELI BROAD COLLEGE OF BUSINESS DEAN,143159.48
UNIVERSITY FARMS,143266.92
UNIVERSITY SERVICES,144200.04
UNIVERSITY SERVICES & RECYCLING,144200.04
FINANCE,145342.81
CULINARY SERVICES,147108
MSU INNOVATION CENTER,147727.2
ASC PROVOST FOR ACADEMIC SERVICES,148558.84
REGISTRAR,148629
GENERAL COUNSEL,148820.57
GENERAL COUNSEL,148820.57
CANR ADMIN/DEAN AG & NR,149343.93
BROADCASTING SERVICES,150000
OFFICE OF SPONSORED PROJECTS,150287.98
RESIDENCE EDUCATION AND HOUSING SER ADMN,150800
DEPT OF SUPPLY CHAIN MGT,151523.6
ADVANCEMENT MKTG AND COMM,152234.04
V.P. FOR BUS. AND FINANCE PHYSICAL PLANT,152353.66
UNIVERSITY OMBUDSPERSON,154500
ACCOUNTING AND INFORMATION SYSTEMS,154792.31
MANAGEMENT,155772.26
OFC OF PLANNING & BDGETS,156884.04
"RESIDENTIAL & HOSPITALITY SERVICES, DIV",157720.16
INTERNAL AUDIT,158199.96
CONTRACT AND GRANT ADMINISTRATION,158754
INVESTMENT & FINANCIAL MANAGEMENT,159297.72
HUMAN RESOURCES ASST VICE PRESIDENT,160490.5
FACULTY & ORG DEVELOPMENT - AHR,160538.52
OFC OF DIVERSITY & PLURALISM,162005
BUSINESS OPERATIONS,162512.13
ENVIRONMENTAL HEALTH & SAFETY,163200
IT SERVICES ADMINISTRATION AND PLANNING,164167.24
HOLLAND INITIATIVE,168300
FINANCIAL AID,169950
PHYSICAL PLANT ADMINISTRATION,172967.28
ASC VICE PRES ALUMNI ASSOCIATION,174194.64
DEPARTMENT OF POLICE AND PUBLIC SAFETY,175077.24
ASC PROV & ASC VP ACAD HUMAN RESOURCES,175094.44
CONTROLLER,175100
RESEARCH & GRADUATE STUDIES VICE PRES,179734.95
VICE PRES FOR GOVERNMENTAL AFFAIRS,180450
VICE PRES FOR GOVERNMENTAL AFFAIRS,180450
ASC PROV AST VP ACADEMIC HUMAN RESOURCES,182372.4
ASC VICE PRES FOR UNIVERSITY DEVELOPMENT,183280.02
ENTERPRISE BUSINESS SYSTEMS PROJECTS,184370.04
OST.MED. RESEARCH & ADV STUDY PROGRAMS,184482.12
SE MI DETROIT MEDICAL CENTER,186558.38
