label	value
	
	
	
"ARTS & HUMANITIES, RESIDENTIAL COLL IN"	77814.64
RESIDENTIAL COLLEGE ARTS & HUMAN DEAN	77814.64
	
ASC PROV & ASC VP ACAD HUMAN RESOURCES	175094.44
ASC PROV AST VP ACADEMIC HUMAN RESOURCES	182372.40
FACULTY & ORG DEVELOPMENT - AHR	160538.52
	
ASC PROV FOR UNIV OUTREACH & ENGAGEMENT	82490.80
ACADEMIC SERVICE LEARNING	75126.36
AFRICAN STUDIES CENTER	58627.64
ASIAN STUDIES CENTER	43390.67
CENTER FOR GENDER IN GLOBAL CONTEXT	59430.96
COMMUNITY EVALUATION & RSCH COLLABRTVE	68571.27
CTR FOR ADV STUDY INT'L DEVEL	69459.44
JULIAN SAMORA RSCH. INST.	122515.02
MUSEUM	81384.16
NATL COLLAB FOR STUDY OF UNIV ENGAGEMENT	89562.00
OUTREACH & ENGAGEMENT PARTNERSHIPS	105819.58
OUTREACH & ENGAGEMENT STRATEGIC INVSTMNT	81140.04
PERFORMING ARTS FACILITIES & PROGRAMS	248205.24
UOE COMMUNICATION & INFORMATION TECHNOL	71550.00
USABILITY/ACCESSIBILITY RSCH CONSULTING	94622.68
	
ASC PROVOST FOR ACADEMIC SERVICES	148558.84
ASC PROVOST FOR ACADEMIC SERVICES	220190.28
FINANCIAL AID	169950.00
OFFICE OF ADMISSIONS	117527.92
REGISTRAR	148629.00
	
ASC PROVOST FOR UNDERGRADUATE EDUCATION	61749.00
ADMIN SUPPORT-MLK INITIATIVE	57506.70
ASC PROVOST FOR UNDERGRADUATE EDUCATION	88936.01
MIGRANT STUDENT SERVICES	100321.56
RESOURCE CTR FOR PERSONS W/DISABILITIES	53946.41
SUPPORTIVE SERVICES PROGRAM	72930.55
UNDERGRADUATE UNIVERSITY DIVISION	54568.85
UPWARD BOUND	68986.84
	
BUSINESS OPERATIONS	162512.13
CONTRACT AND GRANT ADMINISTRATION	158754.00
CONTROLLER	175100.00
ENTERPRISE BUSINESS SYSTEMS PROJECTS	184370.04
INVESTMENT & FINANCIAL MANAGEMENT	159297.72
RISK MANAGEMENT	135038.88
	
COLLEGE OF AGRICULTURE & NAT RESOURCES	84092.52
AGRICULTURAL TECH. INST.	58536.66
AGRICULTURE & NAT RESOURCES DEAN	95138.55
BAILEY SCHOLARS	61504.79
CANR PUBLIC SERVICE ACTIV.	93868.75
CANR RESEARCH ACTIVITIES	249023.24
CTR FOR MICROBIAL ECOLOGY	31193.52
FOOD INDUSTRY INSTITUTE	104055.03
NATIVE AMERICAN INSTITUTE	59884.25
UNIVERSITY FARMS	143266.92
	
COLLEGE OF ARTS AND LETTERS	63229.53
A&L INTERDEPARTMENTAL PROGRAMS	57257.45
ART & ART HISTORY	63650.58
ARTS & LETTERS DEAN	93665.73
ARTS AND LETTERS WRITING CENTER	62054.76
CTR FOR INTEGRAT STD - ARTS & HUMANITIES	46309.04
ENGLISH	81193.70
ENGLISH LANGUAGE CENTER	44192.13
JEWISH STUDIES PROGRAM	108119.48
"LINGUISTICS,GERM,SLAVIC,ASIAN&AF LG"	64886.55
PHILOSOPHY	78399.85
"PROG IN WOMEN,GENDER& SOC JUST"	47577.26
RELIGIOUS STUDIES	70891.44
ROMANCE AND CLASSICAL STUDIES	64726.44
THEATRE	53894.83
